adver_number,brand,class_,variant_,km,engine_capacity_cc,fuel,gear,adver_date,year,city,price_tl,variant,title,city_
#3751843,Mercedes,E-Class,E 250,590000,1300 cc and lower,Diesel,Manual,13/01/2021,1987,Other,62500,E 250 D Classic,ALTAŞ OTO MALATYA 1987 MODEL E250 D Mercedes - Benz E Serisi E 250 D Classic,Izmir
#1266059,Mercedes,E-Class,E 180,153000,1301-1600 cc,Petrol,Automatic,24/01/2021,2015,Istanbul,470000,E 180 AMG Premium,POWERTECH 2015 MERCEDES E-180 AMG PREMİUM EDİTİON-E 360 KAMERA Mercedes - Benz E Serisi E 180 AMG Premium,Istanbul
#1063272,Mercedes,E-Class,E 180,104000,1301-1600 cc,Petrol,Automatic,24/01/2021,2017,Other,625000,E 180 Exclusive,KIRCA OTOMOTİV den 2017 E 180 EXCLUSIVE PREMIUM PAKET BAYİİ Mercedes - Benz E Serisi E 180 Exclusive,Malatya
#3674561,Mercedes,E-Class,E 200,60000,1601-1800 cc,Petrol,Semi-Automatic,24/01/2021,2003,Other,240000,E 200 Komp. Avantgarde,GARAGE 2003 MERCEDES BENZ E200 KOMP. AVANTGARDE AIRMATIC CAM TAV Mercedes - Benz E Serisi E 200 Komp. Avantgarde,Ankara
#439121,Mercedes,E-Class,E 180,98000,1301-1600 cc,Petrol,Automatic,24/01/2021,2015,Istanbul,535000,E 180 AMG Premium,BOYASIZ TRAMERSİZ 98000KM AMG PREMİUM SAĞ SOL HAFIZA TAM DOLU Mercedes - Benz E Serisi E 180 AMG Premium,Istanbul
#4281994,Mercedes,E-Class,E 180,40000,1301-1600 cc,Petrol,Automatic,24/01/2021,2018,Istanbul,609500,E 180 Avantgarde,SVN AUTO 2018 MERCEDES E180 AVANTGARDE HATASIZ 40.000 km Mercedes - Benz E Serisi E 180 Avantgarde,Istanbul
#2398436,Mercedes,E-Class,E 180,37000,1301-1600 cc,Petrol,Automatic,24/01/2021,2018,Other,698000,E 180 AMG,HANCAR MOTORS-HAYALET-COMAND-E63 PANJUR-CAM TAVAN-HAFIZA-HATASIZ Mercedes - Benz E Serisi E 180 AMG,Ordu
#752206,Mercedes,E-Class,E 180,47000,1301-1600 cc,Petrol,Automatic,24/01/2021,2018,Istanbul,688000,E 180 Exclusive,HANCAR MOTORS -HAYALET-COMAND-İÇİ KAHVE-CAM TAVAN-HAFIZA-HATASIZ Mercedes - Benz E Serisi E 180 Exclusive,Istanbul
#172892,Mercedes,E-Class,E 350,46000,1801-2000 cc,Petrol,Automatic,24/01/2021,2018,Istanbul,1238000,E 350 CGI AMG,HANCAR MOTORS -BAYİ ÇIKIŞ-SOĞUTMA-COMAND-BURMESTER-VAKUM-ORJİNAL Mercedes - Benz E Serisi E 350 CGI AMG,Istanbul
#2089005,Mercedes,E-Class,E 220,83000,1300 cc and lower,Diesel,Automatic,24/01/2021,2011,Istanbul,450000,E 220 CDI Avantgarde,2011 E 220 CDI AMG AVANTGARDE PANORAMİK BLUETOOTH ISITMA CRUISE Mercedes - Benz E Serisi E 220 CDI Avantgarde,Istanbul
#920893,Mercedes,E-Class,E 300,3000,1801-2000 cc,Petrol,Automatic,24/01/2021,2018,Istanbul,1315000,E 300 CGI AMG,BAYİ 2018 E300 AMG CABRIO BURMESTER SOĞUTMA AIRSCARF BOYASIZ Mercedes - Benz E Serisi E 300 CGI AMG,Istanbul
#4769155,Mercedes,E-Class,E 300,2000,1300 cc and lower,Petrol,Automatic,24/01/2021,2020,Istanbul,1450000,E 300 BlueTEC Hybrid,YENİ BAYİ 2020 E300 COUPE AMG HYBRID CARBON BURMSTER VAKUM Mercedes - Benz E Serisi E 300 BlueTEC Hybrid,Istanbul
#4101418,Mercedes,E-Class,E 300,32000,1801-2000 cc,Petrol,Automatic,24/01/2021,2017,Istanbul,995000,E 300 AMG,2017 E 300 COUPE AMG EXCLUSIVE COMAND BURMESTER BOYASIZ 20 JANT Mercedes - Benz E Serisi E 300 AMG,Istanbul
#3202318,Mercedes,E-Class,E 180,10000,1301-1600 cc,Petrol,Automatic,24/01/2021,2017,Istanbul,699000,E 180 Exclusive,2017 E 180 EXCLUSIVE SUNROF ISITMA HAFIZA CRUISE HATASZ 10.480KM Mercedes - Benz E Serisi E 180 Exclusive,Istanbul
#3688116,Mercedes,E-Class,E 250,98000,1801-2000 cc,Petrol,Semi-Automatic,24/01/2021,2016,Istanbul,545000,E 250 AMG 7G-Tronic,2016 E 250 AMG SOĞUMTA PANORAMİK 360KAMERA HARMANKARDON F1 Mercedes - Benz E Serisi E 250 AMG 7G-Tronic,Istanbul
#3686398,Mercedes,E-Class,E 180,127000,1301-1600 cc,Petrol,Automatic,06/01/2021,2017,Istanbul,619500,E 180 AMG,MARKA AUTO DAN 2017 E180 EXCLUSİVE COMMAND NAVİGASYON BOYASIZ Mercedes - Benz E Serisi E 180 AMG,Istanbul
#4004754,Mercedes,E-Class,E 220,0,1801-2000 cc,Diesel,Automatic,06/01/2021,2020,Istanbul,1400000,E 220 d AMG,ŞAMNU DAN MERCEDES E220d AMG 4 MATİC Mercedes - Benz E Serisi E 220 d AMG,Istanbul
#1232008,Mercedes,E-Class,E 220,0,1801-2000 cc,Diesel,Automatic,06/01/2021,2020,Other,1400000,E 220 d AMG,ŞAMNU DAN MERCEDES E220d AMG 4 MATİC Mercedes - Benz E Serisi E 220 d AMG,Gaziantep
#1826263,Mercedes,E-Class,E 250,149000,1801-2000 cc,Petrol,Automatic,06/01/2021,2013,Istanbul,439000,E 250 CGI Premium,MERCEDES E250 CGI PREMIUM GENİŞ EKRAN E63 EGSOZ CAM TAVAN Mercedes - Benz E Serisi E 250 CGI Premium,Istanbul
